fitness:-19286.000000  angle:-39.948881  fitness:-18776.000000  angle:-39.948881  fitness:-24580.000000  angle:26.468245  fitness:-24354.000000  angle:-2.022919  fitness:-24580.000000  angle:26.468245  fitness:-18776.000000  angle:-39.948881  fitness:-18776.000000  angle:-39.948881  fitness:-25029.000000  angle:25.850246  fitness:-20423.000000  angle:-39.948881  fitness:-26556.000000  angle:36.463363  fitness:-21339.000000  angle:-26.361126  fitness:-20423.000000  angle:-39.948881  fitness:-23712.000000  angle:25.850246  fitness:-26538.000000  angle:25.850246  fitness:-23876.000000  angle:36.463363  fitness:-18916.000000  angle:-37.677389  fitness:-23647.000000  angle:26.671499  fitness:-24865.000000  angle:36.463363  fitness:-21020.000000  angle:-28.075045  fitness:-18629.000000  angle:-39.948881  
fitness:-25029.000000  angle:25.850246  fitness:-26538.000000  angle:25.850246  fitness:-18776.000000  angle:-39.948881  fitness:-24865.000000  angle:36.463363  fitness:-24354.000000  angle:-2.022919  fitness:-25854.000000  angle:26.468245  fitness:-24522.000000  angle:36.463363  fitness:-19286.000000  angle:-39.948881  fitness:-20423.000000  angle:-39.948881  fitness:-18626.000000  angle:-37.677389  fitness:-23876.000000  angle:36.463363  fitness:-24865.000000  angle:36.463363  fitness:-23686.000000  angle:26.468245  fitness:-20872.000000  angle:-28.075045  fitness:-26538.000000  angle:25.850246  fitness:-20928.000000  angle:-24.529099  fitness:-25238.000000  angle:38.990295  fitness:-24092.000000  angle:-4.385052  fitness:-23876.000000  angle:36.463363  fitness:-23876.000000  angle:36.463363  

-----------------------END------------------------

-----------------------BEGIN------------------------
fitness:-24757.000000  angle:0.138707  fitness:-20762.000000  angle:-31.610004  fitness:-25850.000000  angle:7.930998  fitness:-24883.000000  angle:40.371868  fitness:-26068.000000  angle:32.997070  fitness:-25781.000000  angle:0.918760  fitness:-25697.000000  angle:17.843715  fitness:-22227.000000  angle:-14.245582  fitness:-25977.000000  angle:8.691824  fitness:-22470.000000  angle:-13.328196  fitness:-26646.000000  angle:26.921445  fitness:-27004.000000  angle:44.903867  fitness:-20542.000000  angle:-24.125340  fitness:-20593.000000  angle:-30.069124  fitness:-27423.000000  angle:6.615345  fitness:-27239.000000  angle:35.611896  fitness:-21068.000000  angle:-20.310221  fitness:-26252.000000  angle:14.668569  fitness:-25854.000000  angle:21.875820  fitness:-23516.000000  angle:27.462539  fitness:-19758.000000  angle:-42.657094  fitness:-25998.000000  angle:14.668569  fitness:-26510.000000  angle:21.875820  fitness:-26068.000000  angle:32.997070  fitness:-25495.000000  angle:32.997070  fitness:-25854.000000  angle:21.875820  fitness:-26252.000000  angle:14.668569  fitness:-25907.000000  angle:8.691824  fitness:-26041.000000  angle:21.875820  fitness:-20192.000000  angle:-31.610004  fitness:-25697.000000  angle:17.843715  fitness:-24903.000000  angle:44.903867  fitness:-28133.000000  angle:44.903867  fitness:-21093.000000  angle:-20.310221  fitness:-27004.000000  angle:44.903867  fitness:-27004.000000  angle:44.903867  fitness:-26252.000000  angle:14.668569  fitness:-25162.000000  angle:6.615345  fitness:-28122.000000  angle:40.371868  fitness:-22470.000000  angle:-13.328196  
fitness:-27145.000000  angle:6.615345  fitness:-25290.000000  angle:44.903867  fitness:-25969.000000  angle:14.668569  fitness:-20349.000000  angle:-39.918668  fitness:-26252.000000  angle:14.668569  fitness:-23742.000000  angle:-6.502731  fitness:-26841.000000  angle:17.843715  fitness:-26041.000000  angle:21.875820  fitness:-26504.000000  angle:40.371868  fitness:-19585.000000  angle:-31.610004  fitness:-20481.000000  angle:-37.042909  fitness:-25994.000000  angle:21.875820  fitness:-27004.000000  angle:44.903867  fitness:-26510.000000  angle:21.875820  fitness:-24635.000000  angle:32.997070  fitness:-25907.000000  angle:8.691824  fitness:-26145.000000  angle:17.843715  fitness:-25162.000000  angle:6.615345  fitness:-26597.000000  angle:32.997070  fitness:-26252.000000  angle:14.668569  
fitness:-26252.000000  angle:14.668569  fitness:-26510.000000  angle:21.875820  fitness:-25697.000000  angle:17.843715  fitness:-26214.000000  angle:32.997070  fitness:-22028.000000  angle:-15.377209  fitness:-25994.000000  angle:21.875820  fitness:-20360.000000  angle:-31.610004  fitness:-26252.000000  angle:14.668569  fitness:-27411.000000  angle:14.668569  fitness:-27145.000000  angle:6.615345  fitness:-25907.000000  angle:8.691824  fitness:-25627.000000  angle:1.539506  fitness:-27030.000000  angle:8.691824  fitness:-26041.000000  angle:21.875820  fitness:-23962.000000  angle:17.843715  fitness:-19904.000000  angle:-37.042909  fitness:-25723.000000  angle:6.615345  fitness:-24515.000000  angle:21.875820  fitness:-24635.000000  angle:32.997070  fitness:-26510.000000  angle:21.875820  
fitness:-26510.000000  angle:21.875820  fitness:-25994.000000  angle:21.875820  fitness:-25162.000000  angle:6.615345  fitness:-26041.000000  angle:21.875820  fitness:-26236.000000  angle:17.843715  fitness:-24470.000000  angle:14.668569  fitness:-26252.000000  angle:14.668569  fitness:-20360.000000  angle:-31.610004  fitness:-23162.000000  angle:-8.169958  fitness:-20360.000000  angle:-31.610004  fitness:-20360.000000  angle:-31.610004  fitness:-27091.000000  angle:8.691824  fitness:-25907.000000  angle:8.691824  fitness:-26068.000000  angle:32.997070  fitness:-20409.000000  angle:-37.042909  fitness:-26841.000000  angle:17.843715  fitness:-19736.000000  angle:-31.610004  fitness:-26753.000000  angle:32.997070  fitness:-23824.000000  angle:32.997070  fitness:-24635.000000  angle:32.997070  
